interest_category_id,interest_category_name,level,placements,special_industries,sub_category_ids
22111101,Boots,3,,,
22111102,High Heels,3,,,
22111103,Sneakers,3,,,
22111104,Flats,3,,,
22112109,Cosplay,3,,"HOUSING,EMPLOYMENT,CREDIT",
22112110,Wedding Dresses,3,,,
23116100,Music & Instruments,3,,"HOUSING,EMPLOYMENT,CREDIT",
23116101,Painting,3,,,
23116107,Music,3,,"HOUSING,EMPLOYMENT,CREDIT",
23116999,Other Culture & Art,3,,,
23117100,Reality Shows,3,"PLACEMENT_TIKTOK,PLACEMENT_PANGLE",,
23117101,Singing & Music Competitions,3,"PLACEMENT_TIKTOK,PLACEMENT_PANGLE",,
23117104,Talk Shows,3,"PLACEMENT_TIKTOK,PLACEMENT_PANGLE",,
23117105,Comedy,3,,,
23117999,Other Variety Shows,3,,,
23118100,Romantic Fiction,3,,"HOUSING,EMPLOYMENT,CREDIT",
23118103,Comics,3,,"HOUSING,EMPLOYMENT,CREDIT",
23118106,Children's Books,3,,"HOUSING,EMPLOYMENT,CREDIT",
23119100,Drama,3,,,
23119101,Comedy,3,,"HOUSING,EMPLOYMENT,CREDIT",
23119102,Action,3,,"HOUSING,EMPLOYMENT,CREDIT",
23119103,Romance,3,,,
23119104,Crime,3,"PLACEMENT_TIKTOK,PLACEMENT_PANGLE",,
23119107,Thrillers,3,"PLACEMENT_TIKTOK,PLACEMENT_PANGLE",,
23119109,Horror,3,,"HOUSING,EMPLOYMENT,CREDIT",
23119110,Sci-Fi,3,"PLACEMENT_TIKTOK,PLACEMENT_PANGLE","HOUSING,EMPLOYMENT,CREDIT",
23119111,Fantasy,3,"PLACEMENT_TIKTOK,PLACEMENT_PANGLE",,
23119113,Animation,3,,,
23119114,Musical,3,"PLACEMENT_TIKTOK,PLACEMENT_PANGLE","HOUSING,EMPLOYMENT,CREDIT",
23119115,Dance,3,"PLACEMENT_TIKTOK,PLACEMENT_PANGLE",,
24100100,Real Estate Sales,3,,"HOUSING,EMPLOYMENT,CREDIT",
24100101,Home Rentals,3,,"HOUSING,EMPLOYMENT,CREDIT",
25100100,Roleplaying Games,3,,"HOUSING,EMPLOYMENT,CREDIT",25100100100
25100101,Simulation Games,3,,"HOUSING,EMPLOYMENT,CREDIT","25100101100,25100101101,25100101102"
25100102,Strategy Games,3,,,"25100102100,25100102102,25100102103"
25100103,Shooting,3,,,"25100103100,25100103101,25100103102"
25100104,Sports,3,,,"25100104100,25100104102,25100104103,25100104104,25100104105,25100104106,25100104999"
25100105,Action Games,3,,,
25100106,Adventure Games,3,,,
25100107,Racing Games,3,,,
25100108,Music Games,3,,"HOUSING,EMPLOYMENT,CREDIT",
25100109,Action-adventure Games,3,,,
25100110,Puzzle Games,3,,,
25100111,Match-three,3,,,
25100112,Educational Games,3,,,
25100115,Board Games,3,,,
25100116,Combat Games,3,,"HOUSING,EMPLOYMENT,CREDIT",
25992001,IAA,3,,,
25992002,IAP,3,,,
